"id","type","category","product_category","brand","flavor","description","strength","vibes","in_stock","media_url"
"1311","Магазин","Для себя","Табаки","Aureus","Evdora","Кисло-сладкая маракуйя","2","тропики","true",""
"1312","Магазин","Для себя","Табаки","Aureus","Thalia","Тутти-фрутти","2","сладкий","true",""
"1313","Магазин","Для себя","Табаки","Aureus","Aglaya","Кусочки медовой дыни","2","летний","true",""
"1314","Магазин","Для себя","Табаки","Aureus","Scarlett","Спелая садовая малина","2","ягоды","true",""
"1315","Магазин","Для себя","Табаки","Aureus","Liora","Лимонная шипучка","2","напитки","true",""
"1316","Магазин","Для себя","Табаки","Aureus","Tauros","Энергетик","2","напитки","true",""
"1317","Магазин","Для себя","Табаки","Aureus","Orangelo","Апельсин и грейпфрут","2","кислый","true",""
"1101","Магазин","Для себя","Табаки","Сарма","Фруктовый сорбет","Мороженое с фруктами","2","десерты","true","images/catalog/1101.png"
"1102","Магазин","Для себя","Табаки","Сарма","Ирга","Спелая ирга","2","ягоды","true",""
"1103","Магазин","Для себя","Табаки","Сарма","Смородиновый морс","Морс из смородины","2","напитки","true","images/catalog/1103.png"
"1104","Магазин","Для себя","Табаки","Сарма","Северная черника","Лесная черника","2","ягоды","true","images/catalog/1104.png"
"1105","Магазин","Для себя","Табаки","Сарма","Красное яблоко","Сладкое яблоко","2","фрукты","true","images/catalog/1105.png"
"1106","Магазин","Для себя","Табаки","Сарма","Грейпфрутовый сок","Сок грейпфрута","2","напитки","true",""
"1107","Магазин","Для себя","Табаки","Сарма","Дыня","Спелая дыня","2","летний","true",""
"1108","Магазин","Для себя","Табаки","Сарма","Ананасовый сок","Сок ананаса","2","напитки","true","images/catalog/1108.png"
"1109","Магазин","Для себя","Табаки","Сарма","Лимонный леденец","Кислый леденец","2","сладкий","true","images/catalog/1109.png"
"1110","Магазин","Для себя","Табаки","Сарма","Облепиха Апельсин","Кисло-сладкий цитрус","2","кислый","true","images/catalog/1110.png"
"1111","Магазин","Для себя","Табаки","Сарма","Лесная малина","Спелая малина","2","ягоды","true","images/catalog/1111.png"
"1112","Магазин","Для себя","Табаки","Сарма","Байкальская клубника","Сладкая клубника","2","ягоды","true","images/catalog/1112.png"
"1113","Магазин","Для себя","Табаки","Сарма","Древесная вишня","Вишня с нотками дерева","2","ягоды","true",""
"1114","Магазин","Для себя","Табаки","Сарма","Брусника Клюква","Кислые лесные ягоды","2","ягоды","true","images/catalog/1114.png"
"1115","Магазин","Для себя","Табаки","Сарма","Банановое суфле","Банановый десерт","2","десерты","true","images/catalog/1115.png"
"1116","Магазин","Для себя","Табаки","Сарма","Виноградный сок","Сок из винограда","2","напитки","true","images/catalog/1116.png"
"1117","Магазин","Для себя","Табаки","Сарма","Зеленое яблоко","Кислое яблоко","2","фрукты","true","images/catalog/1117.png"
"1118","Магазин","Для себя","Табаки","Сарма","Земляничное печенье","Выпечка с земляникой","2","десерты","true",""
"1119","Магазин","Для себя","Табаки","Сарма","Лимонад Буратино","Классический лимонад","2","напитки","true",""
"1001","Магазин","Для себя","Табаки","Deus","Violet Zephur","Цветочный аромат","3","цветы","true",""
"1002","Магазин","Для себя","Табаки","Deus","Vanilla Berries","Ванильные ягоды","3","ягоды","true",""
"1003","Магазин","Для себя","Табаки","Deus","Jasmine Pear","Груша с жасмином","3","фрукты","true",""
"1004","Магазин","Для себя","Табаки","Deus","Cherry Jelly","Вишневое желе","3","десерты","true",""
"1005","Магазин","Для себя","Табаки","Deus","Passion Fruit","Маракуйя","3","тропики","true",""
"1006","Магазин","Для себя","Табаки","Deus","Catmint","Парфюмная мята","3","свежесть","true",""
"1007","Магазин","Для себя","Табаки","Deus","Blueberry Yogurt","Черничный йогурт","3","десерты","true",""
"1008","Магазин","Для себя","Табаки","Deus","Marmelade","Фруктовый мармелад","3","сладкий","true",""
"1009","Магазин","Для себя","Табаки","Deus","Watermelon Halls","Арбузные леденцы","3","холод","true","images/catalog/1009.png"
"1010","Магазин","Для себя","Табаки","Deus","Orange Blossom","Апельсиновый цвет","3","цветы","true",""
"1011","Магазин","Для себя","Табаки","Deus","Raspberry","Спелая малина","3","ягоды","true","images/catalog/1011.png"
"1012","Магазин","Для себя","Табаки","Deus","Rose Grapefruit","Грейпфрут с розой","3","кислый","true",""
"1013","Магазин","Для себя","Табаки","Deus","Strawberry","Сладкая клубника","3","ягоды","true","images/catalog/1013.jpg"
"1014","Магазин","Для себя","Табаки","Deus","Tropic Soda","Тропическая газировка","3","напитки","true",""
"901","Магазин","Для себя","Табаки","Jam","Печенье с черникой","Сладкая выпечка","1","десерты","true",""
"902","Магазин","Для себя","Табаки","Jam","Лимон Лайм","Цитрусовый микс","1","кислый","true",""
"903","Магазин","Для себя","Табаки","Jam","Манго со льдом","Ледяное манго","1","тропики","true",""
"904","Магазин","Для себя","Табаки","Jam","Грейпфрут с малиновым соком","Фруктово-ягодный микс","1","кислый","true",""
"905","Магазин","Для себя","Табаки","Jam","Малина","Спелая малина","1","ягоды","true",""
"906","Магазин","Для себя","Табаки","Jam","Освежающий мохито","Коктейль мохито","1","напитки","true",""
"907","Магазин","Для себя","Табаки","Jam","Сладкий киви","Спелый киви","1","тропики","true",""
"908","Магазин","Для себя","Табаки","Jam","Черная смородина","Лесная смородина","1","ягоды","true",""
"909","Магазин","Для себя","Табаки","Jam","Банановый коктейль","Банановый милкшейк","1","десерты","true",""
"1401","Магазин","Для себя","Табаки","Sebero","Сочный персик","Сладкий персик","1","фрукты","true",""
"1402","Магазин","Для себя","Табаки","Sebero","Цитрусовый шок","Кислый цитрус","1","кислый","true",""
"1403","Магазин","Для себя","Табаки","Sebero","Маракуйя","Тропическая маракуйя","1","тропики","true",""
"1404","Магазин","Для себя","Табаки","Sebero","Киви","Тропический киви","1","тропики","true",""
"1405","Магазин","Для себя","Табаки","Sebero","Голубика","Сочная голубика","1","ягоды","true",""
"1406","Магазин","Для себя","Табаки","Sebero","Гуава клубника","Тропический микс с клубникой","1","фрукты","true",""
"1407","Магазин","Для себя","Табаки","Sebero","Малина","Спелая малина","1","ягоды","true",""
"1408","Магазин","Для себя","Табаки","Sebero","Лимончело","Лимонный ликер","1","напитки","true",""
"1409","Магазин","Для себя","Табаки","Sebero","Банан клубника","Сладкий десертный микс","1","десерты","true",""
"1410","Магазин","Для себя","Табаки","Sebero","Энергетик","Энергетический напиток","1","напитки","true","images/catalog/1410.png"
"1411","Магазин","Для себя","Табаки","Sebero","Arctic Mix","Ягодный микс со льдом","1","холод","true",""
"1412","Магазин","Для себя","Табаки","Sebero","Juicy Shake","Фруктовый шейк","1","фрукты","true",""
"1413","Магазин","Для себя","Табаки","Sebero","Bubble Fruit","Фруктовая жвачка","1","сладкий","true",""
"1414","Магазин","Для себя","Табаки","Sebero","Pop Star","Сладкие леденцы","1","сладкий","true",""
"1415","Магазин","Для себя","Табаки","Sebero","Fresh Time","Освежающий цитрус","1","свежесть","true",""
"1416","Магазин","Для себя","Табаки","Sebero","Fruit Smoothie","Фруктовый смузи","1","фрукты","true",""
"1417","Магазин","Для себя","Табаки","Sebero","Melon Ron Do","Освежающая дыня","1","летний","true",""
"1418","Магазин","Для себя","Табаки","Sebero","Cream Berry","Сливочные ягоды","1","десерты","true",""
"1419","Магазин","Для себя","Табаки","Sebero","Fruit Tea","Фруктовый чай","1","чайный","true",""
"1420","Магазин","Для себя","Табаки","Sebero","Tropic Berry","Тропические ягоды","1","тропики","true",""
"1421","Магазин","Для себя","Табаки","Sebero","Fruit Yogurt","Фруктовый йогурт","1","десерты","true",""
"1422","Магазин","Для себя","Табаки","Sebero","Spice Fruit","Пряные фрукты","1","пряный","true",""
"1423","Магазин","Для себя","Табаки","Sebero","Summer Vibe","Летний микс","1","летний","true",""
"1424","Магазин","Для себя","Табаки","Sebero","Vanilla Fruit","Фруктовая ваниль","1","десерты","true",""
"26","Аренда","Для себя","Табаки","Аренда","Стандартный кальян","Классический кальян на дом на сутки","-","аренда","true",""
"27","Аренда","Для себя","Табаки","Аренда","Премиум кальян","Премиум аппарат с чашей на фрукте","-","аренда премиум","true",""
"28","Магазин","Для заведения","Опт","Прайс-лист для заведений","Доступ ко всему оптовому прайсу","-","опт","true","",""
"701","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Малина Вишня","Ягодный микс","3","ягоды","true",""
"702","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Виноград Гранат","Терпкий фруктовый микс","3","фрукты","true",""
"703","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Яблоко Карамель","Сладкое яблоко","3","десерты","true",""
"704","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Смородина Базилик","Ягоды с травами","3","необычный","true",""
"705","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Киви","Тропический киви","3","тропики","true",""
"706","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Ананас Кокос","Тропический микс","3","тропики","true",""
"707","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Маракуйя","Кисло-сладкая маракуйя","3","тропики","true",""
"708","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Горная Лаванда","Цветочный аромат","3","цветы","true",""
"709","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Помело Грейпфрут","Цитрусовый микс","3","кислый","true","images/catalog/709.png"
"710","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Манго Лайм","Тропический цитрус","3","тропики","true",""
"711","Магазин","Для себя","Табаки","Сарма 360 Крепкая","Облепиха Роза","Необычный микс","3","цветы","true",""
